code,name,sido,sigungu,eupmyeondong,ri,status,level,parent_code,sido_abbr,sido_en,name_en
1100000000,서울특별시,서울특별시,,,,존재,1,0,서울,Seoul,Seoul
1111000000,서울특별시 종로구,서울특별시,종로구,,,존재,2,1100000000,서울,Seoul,Seoul Jongro-gu
1111010100,서울특별시 종로구 청운동,서울특별시,종로구,청운동,,존재,3,1111000000,서울,Seoul,Seoul Jongro-gu Cheongun-dong
1111010200,서울특별시 종로구 신교동,서울특별시,종로구,신교동,,존재,3,1111000000,서울,Seoul,Seoul Jongro-gu Singyo-dong
1111010300,서울특별시 종로구 궁정동,서울특별시,종로구,궁정동,,존재,3,1111000000,서울,Seoul,Seoul Jongro-gu Gungjeong-dong
1111010400,서울특별시 종로구 효자동,서울특별시,종로구,효자동,,존재,3,1111000000,서울,Seoul,Seoul Jongro-gu Hyoja-dong
1111010500,서울특별시 종로구 창성동,서울특별시,종로구,창성동,,존재,3,1111000000,서울,Seoul,Seoul Jongro-gu Changseong-dong
1111010600,서울특별시 종로구 통의동,서울특별시,종로구,통의동,,존재,3,1111000000,서울,Seoul,Seoul Jongro-gu Tongui-dong
1111010700,서울특별시 종로구 적선동,서울특별시,종로구,적선동,,존재,3,1111000000,서울,Seoul,Seoul Jongro-gu Jeokseon-dong
1111010800,서울특별시 종로구 통인동,서울특별시,종로구,통인동,,존재,3,1111000000,서울,Seoul,Seoul Jongro-gu Tongin-dong
1111010900,서울특별시 종로구 누상동,서울특별시,종로구,누상동,,존재,3,1111000000,서울,Seoul,Seoul Jongro-gu Nusang-dong
1111011000,서울특별시 종로구 누하동,서울특별시,종로구,누하동,,존재,3,1111000000,서울,Seoul,Seoul Jongro-gu Nuha-dong
1111011100,서울특별시 종로구 옥인동,서울특별시,종로구,옥인동,,존재,3,1111000000,서울,Seoul,Seoul Jongro-gu Ogin-dong
1111011200,서울특별시 종로구 체부동,서울특별시,종로구,체부동,,존재,3,1111000000,서울,Seoul,Seoul Jongro-gu Chebu-dong
1111011300,서울특별시 종로구 필운동,서울특별시,종로구,필운동,,존재,3,1111000000,서울,Seoul,Seoul Jongro-gu Pirun-dong
1111011400,서울특별시 종로구 내자동,서울특별시,종로구,내자동,,존재,3,1111000000,서울,Seoul,Seoul Jongro-gu Naeja-dong
1111011500,서울특별시 종로구 사직동,서울특별시,종로구,사직동,,존재,3,1111000000,서울,Seoul,Seoul Jongro-gu Sajik-dong
1111011600,서울특별시 종로구 도렴동,서울특별시,종로구,도렴동,,존재,3,1111000000,서울,Seoul,Seoul Jongro-gu Doryeom-dong
